ConstraintID	Violations	Total time	Runtime materialization	Iterations	Derivations	Rules	Demand rules	Total rules
Q53869507	85	319	34	2564	85	2563		2563
Q21502838	2	478	104	1813	2	1812		1812
Q52004125	0	151	3	71	0	70		70
Q52558054	0	183	8	274	0	273		273
Q21502410	0	3279459	3278848	3104	100711962	3021		3021
Q21514353	25	764	565	1191	102687	1095		1095
Q21510851	1	801	630	459	110043	312		312
Q21510859	0	2228801	2228109	712	91123588	351		351
Q52712340	0	918	758	181	42870	1		1
Q21503247	70	2431004	2428684	34070	89746487	15736		15736
Q21510864	0	1631821	1630063	1213	74959156	853		853
Q21510855	0	6245	5531	672	2270412	580		580
Q21510862	0	1997137	1995362	530	90532560	170		170
Q21510857	1	1315	556	260	226934	80		80
Q19474404	7	9381399	9379390	22890	105570846	12152		12152
Q21510856	3	648	211	1360	9377	639		639
Q52060874	0	2190023	2189081	191	104627690	4		4
