ConstraintID	Violations	Total time	Runtime materialization	Iterations	Derivations	Rules	Demand rules	Total rules	Constrained statements	Constrained qualifiers	Constrained references
Q53869507	0	407135	3855	4282	238304				32822	17331	188151
Q21502838	0	90915	2236	1459	53130				53130	0	0
Q52004125	0	4116	107	127	677				677	0	0
Q52558054	0	34917	408	52	12467				12210	246	11
Q21502410	0	96726	26158	9115	16628				16628	0	0
Q21514353	0	10191	327	1096	1602				1218	384	0
Q21510851	0	266411	1333	937	59811				59182	629	0
Q21510859	0	13973	477	352	1177				1074	55	48
Q52712340	0	3168	87	4	1				1	0	0
Q21503247	0	157085	10856	5563	31233				31233	0	0
Q21510864	0	167273	421	493	32386				32386	0	0
Q21510855	0	5982	109	346	910				910	0	0
Q21510862	0	4385	81	103	487				487	0	0
Q21510857	0	4129	58	49	243				243	0	0
Q19474404	0	580712	20000	9304	139332				20735	988	117609
Q21510856	0	9491	237	562	1061				1027	34	0
Q52060874	0	5828	242	13	5				5	0	0
