ConstraintID	Violations	Total time	Runtime materialization	Iterations	Derivations	Rules	Demand rules	Total rules	Constrained statements	Constrained qualifiers	Constrained references
Q53869507	7566	12482	684	2563	7566	2562	0	2562			
Q21502838	142	12812	7769	1811	142	1810	0	1810			
Q52004125	45	5308	427	71	45	70	0	70			
Q52558054	4	10935	867	274	4	273	0	273			
Q21502410	96	4381875	4363485	9084	166147	3054	3054	6108			
Q21514353	10245	24037	2360	4393	17993	1098	2514	3612			
Q21510851	363	26568	19066	2095	13576	313	1404	1717			
Q21510859	8	94867	50401	5907	28265	351	4419	4770			
Q52712340	0	6235	254	183	8190	1	2	3			
Q21503247	5956	7277011	254	247527	8190	15820	13164	28984			
Q21510864	3	75340	43377	24463	11443	853	706	1559			
Q21510855	1	30562	3910	11522	1123	585	468	1053			
Q21510862	0	55463	12549	11373	9262	170	136	306			
Q21510857	142	75004	53107	8234	3887	80	64	144			
Q19474404	0	7520923	53107	9402	3887	12257	12107	24364			
Q21510856	161	14082	2942	2003	1956	636	424	1060			
Q52060874	0	29792	672	188	8372	4	4	8			
