ConstraintID	Violations	Loading time	Reasoning time	Querying time	Iterations	Derivations	Rules	On-demand rules	Total rules
Q53869507	7556	10187	151	1432	2569	7556	2568	0	2568
Q21502838	103	4637	12466	25	1815	103	1814	0	1814
Q52004125	45	4574	24	11	73	45	72	0	72
Q52558054	3	9960	182	1	271	3	270	0	270
Q21502410	79	17463	4502015	95	9354	165813	3078	3078	6156
Q21514353	10245	10509	1955	11248	4425	18010	1101	2529	3630
Q21510851	363	6581	16028	438	2139	13798	315	1430	1745
Q21510859	5	50062	91159	429	6045	5520578	351	4431	4782
Q52712340	0	6914	78	28	414	70490	1	2	3
Q21503247	3636	33167	7908511	237668	2282113	5689027	15875	13226	29101
Q21510864	3	33180	159341	234	46909	5470905	850	710	1560
Q21510855	0	25463	2532	27	1963	910	580	464	1044
Q21510862	0	45406	22850	26	24048	5468719	170	136	306
Q21510857	5	16348	37995	353	22015	1849	80	64	144
Q19474404	708	26421	49206621	109557	48828	336884	12851	9761	22612
Q21510856	13	7685	45324	58	2409	1228	642	428	1070
Q52060874	0	27878	28193	1	192	71048	8	4	12
