ConstraintID	Violations	Total time	Runtime materialization	Iterations	Derivations	Rules	Demand rules	Total rules
Q53869507	7556	12822	155	2569	7556	2568	0	2568
Q21502838	103	17769	12324	1814	103	1813	0	1813
Q52004125	45	5381	27	73	45	72	0	72
Q52558054	3	11195	189	271	3	270	0	270
Q21502410	79	4507224	4487655	9247	165813	3077	3077	6154
Q21514353	10245	24865	1952	4405	17998	1101	2523	3624
Q21510851	363	25376	17122	2120	13798	315	1425	1740
Q21510859	8	155067	95613	5916	5581769	351	4428	4779
Q52712340	0	26774	82	183	70490	1	2	3
Q21503247	3636	7766304	82	839946	70490	15869	13216	29085
Q21510864	3	295451	176467	24433	5531875	850	708	1558
Q21510855	1	69723	15398	11526	1155	585	468	1053
Q21510862	0	165096	28713	11376	5529717	170	136	306
Q21510857	5	94797	53996	10950	1849	80	64	144
Q19474404	0	8082794	53996	9442	1849	12339	12183	24522
Q21510856	13	41553	25284	2012	1228	639	426	1065
Q52060874	0	47723	159	188	71022	4	4	8
