ConstraintID	Violations	Loading time	Reasoning time	Querying time	Iterations	Derivations	Rules	On-demand rules	Total rules
Q53869507	17	10694	765	5	2571	17	2570	0	2570
Q21502838	2	4836	862	0	1817	2	1816	0	1816
Q52004125	0	4698	268	0	73	0	72	0	72
Q52558054	0	10237	732	0	271	0	270	0	270
Q21502410	0	17875	1128	0	6267	758	3103	3103	6206
Q21514353	0	10270	805	1	3711	812	1116	2541	3657
Q21510851	0	6588	358	0	1799	812	315	1430	1745
Q21510859	0	51608	3740	115	5235	5501388	351	4431	4782
Q52712340	0	7328	372	38	414	70490	1	2	3
Q21503247	0	12002	1872	36	29580	770006	15887	13240	29127
Q21510864	0	33292	816	36	2013	5468582	850	710	1560
Q21510855	0	24813	313	38	1098	870	580	464	1044
Q21510862	0	45183	766	38	759	5468582	170	136	306
Q21510857	0	15748	277	38	198	812	80	64	144
Q19474404	0	29317	1808	115	22995	71024	12835	9749	22584
Q21510856	0	8315	408	38	1124	812	642	428	1070
Q52060874	0	29948	318	38	423	71022	8	4	12
