ConstraintID	Violations	Total time	Runtime materialization	Iterations	Derivations	Rules	Demand rules	Total rules
Q53869507	73659	127243		2564	73659	2563	0	2563
Q21502838	1264	198135		1811	1264	1810	0	1810
Q52004125	789	120447		71	789	70	0	70
Q52558054	72	115210		274	72	273	0	273
Q21502410	1426	82150101		9097	1655613	3001	3001	6002
Q21514353	96653	289991		4369	250806	1095	2496	3591
Q21510851	3378	278753		2068	31472	310	1383	1693
Q21510859	126	6896981		6016	52045	351	4416	4767
Q52712340	1	117294		811	8937	1	2	3
Q21503247	0	117294		811	8937	15639	12996	28635
